"Statistic Label","Month","NACE Group","UNIT","VALUE"
"Retail Sales Index Value Unadjusted","2015 January","Motor trades (45)","Base 2015=100","176.4"
"Retail Sales Index Value Unadjusted","2015 January","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","89.9"
"Retail Sales Index Value Unadjusted","2015 January","Department stores (4719)","Base 2015=100","80"
"Retail Sales Index Value Unadjusted","2015 January","Retail sale of automotive fuel (4730)","Base 2015=100","85.7"
"Retail Sales Index Value Unadjusted","2015 January","Retail sale of hardware, paints and glass (4752)","Base 2015=100","79.6"
"Retail Sales Index Value Unadjusted","2015 January","Retail sale of furniture and lighting (4759)","Base 2015=100","105"
"Retail Sales Index Value Unadjusted","2015 January","Bars (5630)","Base 2015=100","70.9"
"Retail Sales Index Value Unadjusted","2015 January","All retail businesses","Base 2015=100","109.6"
"Retail Sales Index Value Unadjusted","2015 January","Motor trades and automotive fuel (45,4730)","Base 2015=100","163.2"
"Retail Sales Index Value Unadjusted","2015 January","All retail businesses, excluding motor trades and bars","Base 2015=100","85.3"
"Retail Sales Index Value Unadjusted","2015 January","All retail businesses, excluding motor trades","Base 2015=100","84.5"
"Retail Sales Index Value Unadjusted","2015 January","All retail businesses, excluding motor trades, automotive fuel and bars","Base 2015=100","85.3"
"Retail Sales Index Value Unadjusted","2015 January","Retail sale of food (4711,4721 to 4729)","Base 2015=100","89.2"
"Retail Sales Index Value Unadjusted","2015 January","Retail sale of non food products, excluding motor trades, automotive fuel and bars","Base 2015=100","81.7"
"Retail Sales Index Value Unadjusted","2015 January","Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)","Base 2015=100","82.5"
"Retail Sales Index Value Unadjusted","2015 January","Retail sale of household equipment (4741 to 4743,4752,4754,4759)","Base 2015=100","94.2"
"Retail Sales Index Value Unadjusted","2015 January","Retail sale of electrical goods (4741 to 4743,4754)","Base 2015=100","89.7"
"Retail Sales Index Value Unadjusted","2015 January","Retail sale of textiles, clothing and footwear (4751,4771,4772)","Base 2015=100","72.6"
"Retail Sales Index Value Unadjusted","2015 January","Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)","Base 2015=100","73.7"
"Retail Sales Index Value Unadjusted","2015 January","Other retail sales (4753,4763 to 4765,4776 to 4778)","Base 2015=100","73.9"
"Retail Sales Index Value Unadjusted","2015 January","Retail sale of books, newspapers and stationery (4761,4762)","Base 2015=100","73.1"
"Retail Sales Index Value Unadjusted","2015 January","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Base 2015=100","84.4"
"Retail Sales Index Value Unadjusted","2015 February","Motor trades (45)","Base 2015=100","145.5"
"Retail Sales Index Value Unadjusted","2015 February","Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)","Base 2015=100","91.6"
"Retail Sales Index Value Unadjusted","2015 February","Department stores (4719)","Base 2015=100","73.6"
