Month,ShortCat,Value
2015 January,Motor Trades,176.4
2015 January,Electrical Goods,94.7
2015 January,Bars,101.0
2015 January,Furniture & Lighting,86.0
2015 January,Hardware & DIY,97.0
2015 January,Automotive Fuel,93.0
2015 January,Department Stores,97.7
2015 January,Food Stores,98.6
2015 January,Motor Trades,91.1
2015 January,Food Stores,97.6
2015 January,Motor Trades,150.1
2015 January,Food Stores,92.0
2015 January,Department Stores,85.5
2015 January,Automotive Fuel,86.1
2015 January,Hardware & DIY,80.8
2015 January,Furniture & Lighting,89.8
2015 January,Bars,81.5
2015 January,Electrical Goods,100.8
2015 January,Clothing & Footwear,77.4
2015 January,Pharmacy & Cosmetics,89.4
2015 January,Pharmacy & Cosmetics,94.0
2015 January,Clothing & Footwear,95.1
2015 January,Electrical Goods,92.0
2015 January,Bars,94.5
2015 January,Furniture & Lighting,92.9
2015 January,Hardware & DIY,98.3
2015 January,Automotive Fuel,92.0
2015 January,Department Stores,97.5
2015 January,Clothing & Footwear,94.1
2015 January,Pharmacy & Cosmetics,96.0
2015 January,Motor Trades,96.5
2015 January,Food Stores,89.9
2015 January,Automotive Fuel,85.7
2015 January,Hardware & DIY,79.6
2015 January,Furniture & Lighting,105.0
2015 January,Bars,70.9
2015 January,Electrical Goods,89.7
2015 January,Clothing & Footwear,72.6
2015 January,Pharmacy & Cosmetics,84.4
2015 January,Department Stores,80.0
2015 February,Electrical Goods,77.0
2015 February,Bars,81.3
2015 February,Furniture & Lighting,121.3
2015 February,Department Stores,73.6
2015 February,Automotive Fuel,96.9
2015 February,Clothing & Footwear,72.2
2015 February,Food Stores,91.6
2015 February,Hardware & DIY,85.0
2015 February,Pharmacy & Cosmetics,100.3
2015 February,Bars,99.3
2015 February,Clothing & Footwear,91.9
2015 February,Electrical Goods,93.9
2015 February,Furniture & Lighting,92.1
2015 February,Hardware & DIY,97.9
2015 February,Automotive Fuel,97.8
2015 February,Department Stores,96.0
2015 February,Food Stores,98.3
2015 February,Motor Trades,91.9
2015 February,Pharmacy & Cosmetics,89.8
2015 February,Motor Trades,141.5
2015 February,Motor Trades,145.5
2015 February,Department Stores,76.3
2015 February,Pharmacy & Cosmetics,97.5
2015 February,Food Stores,98.2
2015 February,Clothing & Footwear,94.6
2015 February,Electrical Goods,94.1
2015 February,Bars,95.5
2015 February,Furniture & Lighting,101.5
2015 February,Hardware & DIY,99.0
2015 February,Automotive Fuel,95.7
2015 February,Department Stores,95.1
2015 February,Pharmacy & Cosmetics,95.3
2015 February,Clothing & Footwear,70.6
2015 February,Electrical Goods,78.1
2015 February,Bars,87.4
2015 February,Furniture & Lighting,88.2
2015 February,Hardware & DIY,85.0
2015 February,Motor Trades,94.9
2015 February,Automotive Fuel,101.5
2015 February,Food Stores,95.1
